[2025-07-17 05:45:58] [INFO] Fetching main library page from Ollama.com
[2025-07-17 05:46:01] [INFO] Found 175 models on Ollama.com
[2025-07-17 05:46:01] [INFO][ollama_scrape][1/1] ==> Processing Ollama.com model: llama2 (1/1)
[2025-07-17 05:46:01] [INFO] Fetching details page: https://ollama.com/library/llama2
[2025-07-17 05:46:44] [INFO][manifest_api] Fetching manifest from: https://registry.ollama.ai/v2/library/llama2/manifests/13b-text-q5_K_S
[2025-07-17 05:46:45] [INFO][manifest_api] Fetching manifest from: https://registry.ollama.ai/v2/library/llama2/manifests/13b-text-q5_K_M
[2025-07-17 05:46:45] [INFO][manifest_api] Fetching manifest from: https://registry.ollama.ai/v2/library/llama2/manifests/13b-text-q6_K
[2025-07-17 05:46:46] [INFO][manifest_api] Fetching manifest from: https://registry.ollama.ai/v2/library/llama2/manifests/13b-text-q8_0
[2025-07-17 05:46:46] [INFO][manifest_api] Fetching manifest from: https://registry.ollama.ai/v2/library/llama2/manifests/13b-text-fp16
[2025-07-17 05:46:47] [INFO][manifest_api] Fetching manifest from: https://registry.ollama.ai/v2/library/llama2/manifests/70b-chat
[2025-07-17 05:46:47] [INFO][manifest_api] Fetching manifest from: https://registry.ollama.ai/v2/library/llama2/manifests/70b-chat-q2_K
[2025-07-17 05:46:48] [INFO][manifest_api] Fetching manifest from: https://registry.ollama.ai/v2/library/llama2/manifests/70b-chat-q3_K_S
[2025-07-17 05:46:48] [INFO][manifest_api] Fetching manifest from: https://registry.ollama.ai/v2/library/llama2/manifests/70b-chat-q3_K_M
[2025-07-17 05:46:49] [INFO][manifest_api] Fetching manifest from: https://registry.ollama.ai/v2/library/llama2/manifests/70b-chat-q3_K_L
[2025-07-17 05:46:49] [INFO][manifest_api] Fetching manifest from: https://registry.ollama.ai/v2/library/llama2/manifests/70b-chat-q4_0
[2025-07-17 05:46:50] [INFO][manifest_api] Fetching manifest from: https://registry.ollama.ai/v2/library/llama2/manifests/70b-chat-q4_1
[2025-07-17 05:46:50] [INFO][manifest_api] Fetching manifest from: https://registry.ollama.ai/v2/library/llama2/manifests/70b-chat-q4_K_S
[2025-07-17 05:46:51] [INFO][manifest_api] Fetching manifest from: https://registry.ollama.ai/v2/library/llama2/manifests/70b-chat-q4_K_M
[2025-07-17 05:46:51] [INFO][manifest_api] Fetching manifest from: https://registry.ollama.ai/v2/library/llama2/manifests/70b-chat-q5_0
[2025-07-17 05:46:52] [INFO][manifest_api] Fetching manifest from: https://registry.ollama.ai/v2/library/llama2/manifests/70b-chat-q5_1
[2025-07-17 05:46:52] [INFO][manifest_api] Fetching manifest from: https://registry.ollama.ai/v2/library/llama2/manifests/70b-chat-q5_K_S
[2025-07-17 05:46:53] [INFO][manifest_api] Fetching manifest from: https://registry.ollama.ai/v2/library/llama2/manifests/70b-chat-q5_K_M
[2025-07-17 05:46:53] [INFO][manifest_api] Fetching manifest from: https://registry.ollama.ai/v2/library/llama2/manifests/70b-chat-q6_K
[2025-07-17 05:46:53] [INFO][manifest_api] Fetching manifest from: https://registry.ollama.ai/v2/library/llama2/manifests/70b-chat-q8_0
[2025-07-17 05:46:54] [INFO][manifest_api] Fetching manifest from: https://registry.ollama.ai/v2/library/llama2/manifests/70b-chat-fp16
[2025-07-17 05:46:54] [INFO][manifest_api] Fetching manifest from: https://registry.ollama.ai/v2/library/llama2/manifests/70b-text
[2025-07-17 05:46:55] [INFO][manifest_api] Fetching manifest from: https://registry.ollama.ai/v2/library/llama2/manifests/70b-text-q2_K
[2025-07-17 05:46:55] [INFO][manifest_api] Fetching manifest from: https://registry.ollama.ai/v2/library/llama2/manifests/70b-text-q3_K_S
[2025-07-17 05:46:56] [INFO][manifest_api] Fetching manifest from: https://registry.ollama.ai/v2/library/llama2/manifests/70b-text-q3_K_M
[2025-07-17 05:46:56] [INFO][manifest_api] Fetching manifest from: https://registry.ollama.ai/v2/library/llama2/manifests/70b-text-q3_K_L
[2025-07-17 05:46:57] [INFO][manifest_api] Fetching manifest from: https://registry.ollama.ai/v2/library/llama2/manifests/70b-text-q4_0
[2025-07-17 05:46:57] [INFO][manifest_api] Fetching manifest from: https://registry.ollama.ai/v2/library/llama2/manifests/70b-text-q4_1
[2025-07-17 05:46:58] [INFO][manifest_api] Fetching manifest from: https://registry.ollama.ai/v2/library/llama2/manifests/70b-text-q4_K_S
[2025-07-17 05:46:58] [INFO][manifest_api] Fetching manifest from: https://registry.ollama.ai/v2/library/llama2/manifests/70b-text-q4_K_M
[2025-07-17 05:46:59] [INFO][manifest_api] Fetching manifest from: https://registry.ollama.ai/v2/library/llama2/manifests/70b-text-q5_0
[2025-07-17 05:46:59] [INFO][manifest_api] Fetching manifest from: https://registry.ollama.ai/v2/library/llama2/manifests/70b-text-q5_1
[2025-07-17 05:47:00] [INFO][manifest_api] Fetching manifest from: https://registry.ollama.ai/v2/library/llama2/manifests/70b-text-q5_K_S
[2025-07-17 05:47:00] [INFO][manifest_api] Fetching manifest from: https://registry.ollama.ai/v2/library/llama2/manifests/70b-text-q5_K_M
[2025-07-17 05:47:01] [INFO][manifest_api] Fetching manifest from: https://registry.ollama.ai/v2/library/llama2/manifests/70b-text-q6_K
[2025-07-17 05:47:01] [INFO][manifest_api] Fetching manifest from: https://registry.ollama.ai/v2/library/llama2/manifests/70b-text-q8_0
[2025-07-17 05:47:02] [INFO][manifest_api] Fetching manifest from: https://registry.ollama.ai/v2/library/llama2/manifests/70b-text-fp16
[2025-07-17 05:47:03] [INFO][done][COMPLETE] Ollama.com scraping complete — 1 models stored in models/ollama
